Model,MAE,MSE,R2
XGBoost,38.400257812499966,2480.8408913919457,-0.5361474093865288
CNN,516.099654059053,294373.1039603308,-181.27709911215373
LSTM,584.5531561149364,375908.99845924845,-231.7644776220468
Prophet,33.94023591554405,2061.5824528891962,-0.2765407710067165
