time,Btc-open,Btc-high,Btc-low,Btc-close,Btc-volume,Eth-open,Eth-high,Eth-low,Eth-close,Eth-volume
08/07/2024 0:00,55852.61,56023.92,55026,55089.03,718.6271851,2930.78,2951.63,2883.67,2886.92,7606.758048
08/07/2024 1:00,55089.03,55114.68,54278.93,54953.83,1577.617495,2886.4,2889.11,2822.64,2856.8,14634.60585
08/07/2024 2:00,54953.83,55453.21,54608.85,55383.87,790.5261266,2856.61,2895.37,2840,2889.57,6112.255606
08/07/2024 3:00,55383.87,55489.48,54865.73,55155.86,412.0697278,2889.58,2896.69,2866.19,2879.54,3323.660351
08/07/2024 4:00,55155.86,55625.51,54444.17,55483.64,1009.825824,2879.54,2917.02,2875.14,2913.52,3440.034864
08/07/2024 5:00,55483.64,55707.46,55276.56,55475.29,394.0126435,2913.91,2921.8,2902.1,2916.36,3159.90395
08/07/2024 6:00,55470,55905.34,55203.07,55638.23,471.6589185,2916.25,2933.3,2902.69,2912.99,2720.034916
08/07/2024 7:00,55638.22,55872.98,55530.02,55857.42,341.2503876,2912.99,2928.46,2902.25,2927.29,1902.933032
08/07/2024 8:00,55857.43,57889.02,55738.24,57769.56,1738.236537,2927.13,3065,2922.75,3057,13737.84054
08/07/2024 9:00,57778,58200,57353.25,57515.06,763.3470571,3057.02,3095.94,3043.12,3050.88,8727.002802
08/07/2024 10:00,57512.46,57715.02,56700,56804,669.5004404,3050.63,3069.77,3007.62,3014.27,3295.970417
08/07/2024 11:00,56820.16,57344.2,56748.03,57142.05,371.5859778,3014.47,3064.48,3009.82,3053.19,2559.845125
08/07/2024 12:00,57135.26,57612.41,56851.86,57140.72,447.2220068,3053.09,3064.1,3037.67,3049.06,2616.104301
08/07/2024 13:00,57136.13,57425.53,56772.3,57200.9,786.0782559,3048.64,3059.94,3012.54,3037.09,6269.910277
08/07/2024 14:00,57212,57285.08,54938.68,56173.3,2505.442092,3037.43,3047.01,2891.59,2981.19,21615.07192
08/07/2024 15:00,56179.84,56761.35,55680.37,55740.97,1068.227085,2980.9,3033.89,2964.49,2968.75,9367.442926
08/07/2024 16:00,55740.97,56104.76,55409.4,55803.54,853.685582,2968.76,2992.75,2944.55,2971.3,5714.694265
08/07/2024 17:00,55801.54,56360.23,55580.72,56274.22,486.5683671,2971.31,2988.58,2952.06,2983.99,3092.010089
08/07/2024 18:00,56274.22,56556.79,56144.18,56269.97,489.9891964,2983.92,3000.36,2973.45,2991.01,3284.655372
08/07/2024 19:00,56269.96,56548.92,56133.29,56475.05,1540.256484,2991,3010.11,2982.51,3004.3,4313.418668
08/07/2024 20:00,56478.63,56569.2,56193.6,56259.78,532.613693,3004.4,3015.58,2992.42,2997.96,5996.624871
08/07/2024 21:00,56259.73,56792.32,56170.13,56637.52,389.3613867,2998.02,3028.39,2984.44,3025.31,4625.443466
08/07/2024 22:00,56637.52,56963.5,56544.98,56678.21,432.2681786,3025.31,3047.98,3019.95,3024.66,2615.023098
08/07/2024 23:00,56676.33,56858.41,56602.27,56699.43,253.0779641,3024.3,3033.92,3014.83,3018.48,1484.835061
09/07/2024 0:00,56701.18,56757.67,56276.37,56524.6,350.3431549,3018.47,3035.09,3003.55,3023.39,2117.143939
09/07/2024 1:00,56533.67,57271.21,56433.55,56549.34,410.0018012,3024.22,3075.71,3017.18,3028.64,4720.047467
09/07/2024 2:00,56554.2,57356.24,56323.89,57249.24,457.1062031,3028.63,3073.57,3013.73,3073.55,2870.405241
09/07/2024 3:00,57248.64,57266.37,56864.56,57160.29,210.1633952,3073.46,3073.84,3043.35,3063.98,2700.775714
09/07/2024 4:00,57158.04,57369.75,57094.04,57282.01,221.9027519,3064.14,3085.16,3058.27,3070.56,2078.766215
09/07/2024 5:00,57282.81,57435.28,57109.19,57290.89,239.6474409,3070.64,3074.8,3054.51,3068.14,1790.317907
09/07/2024 6:00,57294.03,57765.95,57194.45,57478.82,283.8577877,3068.07,3090.2,3061.61,3074.91,2419.135398
09/07/2024 7:00,57480.78,57569.24,57000,57108.17,455.4917063,3075.17,3080.5,3058,3061.68,2864.172722
09/07/2024 8:00,57108.17,57883.88,57009.76,57605.52,989.5620539,3061.78,3113.5,3054.9,3083.75,4424.469531
09/07/2024 9:00,57605.52,57691.5,57490.33,57582.06,322.7087267,3083.83,3100.38,3080.33,3088.09,1099.761755
09/07/2024 10:00,57582,57667.55,57272.52,57429.05,375.3270896,3087.94,3098.26,3073.67,3081.78,1054.243228
09/07/2024 11:00,57424.73,57539.8,57216.08,57427.48,218.1202439,3081.64,3092.8,3063.78,3082.96,1991.714968
09/07/2024 12:00,57423.61,57561.8,57264.52,57338.02,208.1040184,3082.84,3087.55,3068.28,3070.33,1192.734102
09/07/2024 13:00,57338.15,57412.93,56952.69,57324.23,554.7142434,3070.88,3078.39,3049,3067.85,2570.492173
09/07/2024 14:00,57324.24,58122,57059.9,57072.3,1402.370806,3068.9,3108.2,3042.68,3045.23,6133.044255
09/07/2024 15:00,57072.04,57503.78,56910.35,57474.12,627.62005,3045.75,3069.54,3036.36,3067.83,2453.331316
