time,Btc-open,Btc-high,Btc-low,Btc-close,volume,Eth-open,Eth-high,Eth-low,Eth-close,Eth-volume
07/06/2021 1:00,36303.93,36812.39,36183.73,36695.07,635.5957922,2764.03,2799.44,2742.41,2793.38,14683.79193
07/06/2021 2:00,36695.07,36774.17,36557.01,36654.5,359.1472642,2793.63,2798.5,2779.04,2787.68,8295.870396
07/06/2021 3:00,36654.5,36733.28,36306.18,36396.12,380.4834011,2787.67,2795,2757,2767.25,8010.928042
07/06/2021 4:00,36396.12,36571.88,36222,36268.91,286.8396921,2767.76,2797.97,2767.28,2769.72,6219.342686
07/06/2021 5:00,36269.6,36446.32,36100.01,36302.78,342.4572173,2769.71,2793.02,2764.3,2788.44,4927.705861
07/06/2021 6:00,36302.79,36370.95,36059.94,36094.65,289.9364709,2788.44,2794,2757.11,2762.55,3877.959646
07/06/2021 7:00,36094.64,36234.88,35861.54,36163.25,367.6314135,2762.72,2771.9,2737.13,2766.22,4468.415145
07/06/2021 8:00,36163.25,36340.23,35907.41,36121.33,293.5599697,2766.84,2778.15,2746.87,2758.42,4377.65203
07/06/2021 9:00,36128.37,36415.37,36063.91,36305.69,280.9472879,2759.48,2792.99,2748.2,2787.93,3172.827283
07/06/2021 10:00,36305.69,36620.2,36305.69,36513.13,349.9990142,2787.93,2840.01,2787.93,2828,10246.09937
07/06/2021 11:00,36513.14,36597.01,36327.62,36395,418.9357569,2828.01,2831.51,2802.36,2813.7,5269.055468
07/06/2021 12:00,36395,36790.16,36262.62,36632.16,662.7775725,2814.78,2839.49,2807.63,2834,6966.73908
07/06/2021 13:00,36632.15,36743.28,36244.89,36304.11,1020.275556,2834,2849.15,2785.23,2789.96,15371.2478
07/06/2021 14:00,36304.11,36310,35865.81,36052.57,1397.694826,2789.76,2795.2,2752.76,2778.19,10171.95499
07/06/2021 15:00,36052.58,36134.68,35914.84,36036.71,546.1585788,2777.51,2791.14,2766.92,2784.27,5660.1076
07/06/2021 16:00,36036.71,36088.61,35700.58,35799.99,706.0955884,2783.98,2790.4,2758.54,2766.29,5634.753165
07/06/2021 17:00,35800,35883.46,35572.43,35725.01,716.0136583,2766.17,2766.17,2704.28,2725.4,14027.81303
07/06/2021 18:00,35725.01,35773.57,35401,35490.95,890.885598,2724.42,2731.42,2677,2686.99,18327.83731
07/06/2021 19:00,35491.8,35683.26,35333.09,35641.05,945.4116841,2686.99,2738.51,2675,2731.46,10192.37246
07/06/2021 20:00,35634.46,35738.64,34034,34461.35,2081.380381,2731.31,2740.92,2630.49,2658.77,22933.40145
07/06/2021 21:00,34461.35,34650,33582,34133.2,2238.211868,2659.44,2665.92,2575,2612.79,35671.24241
07/06/2021 22:00,34133.2,34300,33940.63,34177.51,1364.182441,2613.15,2645.8,2600,2628.69,12887.81876
07/06/2021 23:00,34178.24,34190.44,33333,33575.91,1676.920921,2628.47,2635.75,2575,2592.47,19624.48938
08/06/2021 0:00,33567.26,34069,33320,33692.04,1800.33574,2592.47,2621.91,2560.45,2589.31,22978.98248
08/06/2021 1:00,33692.03,33990.76,33573.26,33807.41,1123.295196,2589.31,2620,2580.22,2609.18,11984.74503
08/06/2021 2:00,33807.49,33885.39,32412,32737.41,2733.239311,2609.17,2611.33,2444.57,2480.99,39928.72751
08/06/2021 3:00,32737.41,32915.39,32399.46,32847.19,1849.771084,2480.99,2500,2430,2490.59,37355.60183
08/06/2021 4:00,32847.19,33160.95,32692.63,32869.08,1273.78128,2491.69,2534.16,2482.46,2502.02,19923.30628
08/06/2021 5:00,32873.54,33000,32505,32925,740.5564208,2501.69,2514.7,2453.24,2506.86,14892.00462
