time,open,high,low,close,volume
07/06/2021 1:00,2764.03,2799.44,2742.41,2793.38,14683.79193
07/06/2021 2:00,2793.63,2798.5,2779.04,2787.68,8295.870396
07/06/2021 3:00,2787.67,2795,2757,2767.25,8010.928042
07/06/2021 4:00,2767.76,2797.97,2767.28,2769.72,6219.342686
07/06/2021 5:00,2769.71,2793.02,2764.3,2788.44,4927.705861
07/06/2021 6:00,2788.44,2794,2757.11,2762.55,3877.959646
07/06/2021 7:00,2762.72,2771.9,2737.13,2766.22,4468.415145
07/06/2021 8:00,2766.84,2778.15,2746.87,2758.42,4377.65203
07/06/2021 9:00,2759.48,2792.99,2748.2,2787.93,3172.827283
07/06/2021 10:00,2787.93,2840.01,2787.93,2828,10246.09937
07/06/2021 11:00,2828.01,2831.51,2802.36,2813.7,5269.055468
07/06/2021 12:00,2814.78,2839.49,2807.63,2834,6966.73908
07/06/2021 13:00,2834,2849.15,2785.23,2789.96,15371.2478
07/06/2021 14:00,2789.76,2795.2,2752.76,2778.19,10171.95499
07/06/2021 15:00,2777.51,2791.14,2766.92,2784.27,5660.1076
07/06/2021 16:00,2783.98,2790.4,2758.54,2766.29,5634.753165
07/06/2021 17:00,2766.17,2766.17,2704.28,2725.4,14027.81303
07/06/2021 18:00,2724.42,2731.42,2677,2686.99,18327.83731
07/06/2021 19:00,2686.99,2738.51,2675,2731.46,10192.37246
07/06/2021 20:00,2731.31,2740.92,2630.49,2658.77,22933.40145
07/06/2021 21:00,2659.44,2665.92,2575,2612.79,35671.24241
07/06/2021 22:00,2613.15,2645.8,2600,2628.69,12887.81876
07/06/2021 23:00,2628.47,2635.75,2575,2592.47,19624.48938
08/06/2021 0:00,2592.47,2621.91,2560.45,2589.31,22978.98248
08/06/2021 1:00,2589.31,2620,2580.22,2609.18,11984.74503
08/06/2021 2:00,2609.17,2611.33,2444.57,2480.99,39928.72751
08/06/2021 3:00,2480.99,2500,2430,2490.59,37355.60183
08/06/2021 4:00,2491.69,2534.16,2482.46,2502.02,19923.30628
08/06/2021 5:00,2501.69,2514.7,2453.24,2506.86,14892.00462
08/06/2021 6:00,2506.85,2515.38,2468.17,2472.61,9291.014387
08/06/2021 7:00,2472.61,2524.99,2441,2516.19,12710.66456
08/06/2021 8:00,2516.19,2559.97,2516.19,2523.02,7335.439678
08/06/2021 9:00,2523.07,2525.48,2490,2496.32,6849.791721
08/06/2021 10:00,2496.33,2529.94,2473.08,2494.78,9937.492175
08/06/2021 11:00,2494.78,2544,2485,2535.56,10588.21982
08/06/2021 12:00,2534.92,2541.64,2499.58,2501.99,9571.652917
08/06/2021 13:00,2501.93,2511.65,2435.07,2436.87,17649.79921
08/06/2021 14:00,2436.87,2454.76,2351.19,2382.72,56066.31994
08/06/2021 15:00,2383.58,2395.2,2306.52,2377.36,45544.78953
08/06/2021 16:00,2377.31,2437,2360,2409.78,30000.19185
08/06/2021 17:00,2409.78,2428,2393.8,2424.82,10443.03381
08/06/2021 18:00,2424.68,2488.07,2417.76,2487.11,17280.1011
08/06/2021 19:00,2486.05,2519.61,2468.04,2505.01,16397.27367
08/06/2021 20:00,2505.01,2552.24,2484.1,2538.45,17638.26859
08/06/2021 21:00,2538.11,2541.89,2504.04,2520.06,9571.271773
08/06/2021 22:00,2520.07,2547.54,2513.2,2522.7,7364.03782
08/06/2021 23:00,2522.95,2539.87,2507.49,2509.11,10202.33146
09/06/2021 0:00,2509.1,2525,2452.43,2455.22,17338.97033
09/06/2021 1:00,2455.2,2476.08,2425.46,2431,13621.8782
09/06/2021 2:00,2432,2476,2415.33,2451.99,14024.10109
09/06/2021 3:00,2452,2475,2439.16,2457.64,7950.162619
09/06/2021 4:00,2456.72,2466.28,2406.33,2458.29,10956.10794
09/06/2021 5:00,2458.29,2499,2449.53,2477.4,8983.394947
09/06/2021 6:00,2477,2544.38,2467.82,2535.32,11834.10986
09/06/2021 7:00,2535.05,2543.34,2501.34,2504.47,7427.222564
09/06/2021 8:00,2505.08,2513.9,2474.01,2484.95,6922.833246
09/06/2021 9:00,2485,2512.67,2473.34,2478.77,5715.086833
09/06/2021 10:00,2478.54,2522.78,2470.17,2499,6218.035656
09/06/2021 11:00,2499.26,2548.29,2488.65,2538.55,8295.664354
09/06/2021 12:00,2538.29,2582.12,2536.02,2544.01,17079.99113
09/06/2021 13:00,2544.01,2551.62,2515.97,2531.56,8982.308433
09/06/2021 14:00,2531.71,2553.84,2450.03,2458.89,19957.85653
09/06/2021 15:00,2458.58,2580.65,2457.89,2569.04,38332.34967
09/06/2021 16:00,2569.36,2621.99,2556,2599.81,22209.57007
09/06/2021 17:00,2599.81,2628.16,2581.22,2593.58,13162.04312
09/06/2021 18:00,2593.57,2613.99,2557.93,2562.15,9094.050996
09/06/2021 19:00,2562.14,2590.57,2544,2563.73,8158.428775
09/06/2021 20:00,2563.99,2578.18,2551.51,2561.1,5428.870567
09/06/2021 21:00,2561.51,2590.03,2555.96,2582.69,6762.483524
09/06/2021 22:00,2582.69,2626,2579.34,2601.23,13724.15249
09/06/2021 23:00,2600.21,2614.75,2588,2611.27,9463.364751
10/06/2021 0:00,2611.4,2625,2574.93,2581.01,9050.359415
10/06/2021 1:00,2581.08,2604.8,2567.21,2572.12,5265.938221
10/06/2021 2:00,2572.13,2577.6,2563.04,2574.06,4455.306732
10/06/2021 3:00,2573.75,2596.58,2561,2564.75,7249.23709
10/06/2021 4:00,2564.48,2576.87,2538.15,2547.08,5743.891533
10/06/2021 5:00,2547.11,2559.59,2523.28,2538.14,5796.232892
10/06/2021 6:00,2538.2,2555.1,2522.98,2541.86,6100.78589
10/06/2021 7:00,2541.34,2557.44,2530.2,2550.1,3343.095217
10/06/2021 8:00,2548.69,2549.03,2508.09,2512.8,5014.289007
10/06/2021 9:00,2512.62,2574.93,2495.7,2568.23,9970.653427
10/06/2021 10:00,2568.4,2605.3,2561.49,2576.52,9828.391691
10/06/2021 11:00,2576.81,2589.32,2561.35,2568.35,4996.212705
10/06/2021 12:00,2568.36,2572.43,2533.99,2558.84,6568.89432
10/06/2021 13:00,2558.84,2561.64,2526.01,2547.29,7998.405568
10/06/2021 14:00,2547.36,2562.41,2504.68,2523.84,12904.01488
10/06/2021 15:00,2523.49,2529.26,2497,2512.86,7676.854913
10/06/2021 16:00,2512.54,2524,2474.38,2481.66,11804.1106
10/06/2021 17:00,2481.56,2489.19,2450,2467.18,13523.15164
10/06/2021 18:00,2467.17,2478,2456.91,2476,8110.650675
10/06/2021 19:00,2475.48,2482.49,2450,2459.47,7572.094324
10/06/2021 20:00,2459.48,2470,2428.16,2469.3,13652.28952
10/06/2021 21:00,2469.73,2486.61,2453.22,2484.82,5078.373777
10/06/2021 22:00,2484.12,2497.45,2476.18,2490.01,5150.966713
10/06/2021 23:00,2490.21,2496.69,2463.89,2471.59,4825.298038
11/06/2021 0:00,2471.59,2499.34,2433.34,2438.9,11563.18286
11/06/2021 1:00,2438.89,2445.35,2403,2427.64,12117.18471
11/06/2021 2:00,2427.65,2439.53,2406,2437.91,7249.281504
11/06/2021 3:00,2438.26,2470.3,2438.26,2466.68,7835.334038
11/06/2021 4:00,2466.11,2486,2458.74,2478.95,4999.318822
11/06/2021 5:00,2478.96,2489.99,2465.07,2465.8,3993.180364
11/06/2021 6:00,2466.22,2469.82,2426.23,2429.94,5229.629625
11/06/2021 7:00,2429.79,2454.24,2416.61,2447.32,5196.44345
11/06/2021 8:00,2446.69,2471.18,2441.01,2444.13,4023.922896
11/06/2021 9:00,2444.52,2480.25,2444.14,2459.1,3230.574781
11/06/2021 10:00,2459.13,2486.33,2458.91,2475.46,4696.627338
11/06/2021 11:00,2475.15,2479.39,2459.1,2472.42,6046.579396
