time,open,high,low,close,volume
2021-06-08,33567.26,34069.0,31004.95,33402.13,34937.55754915
2021-06-09,33402.13,37573.99,32408.53,37403.86,26040.89793254
2021-06-10,37404.75,38425.67,35800.0,36694.05,19853.81418911
2021-06-11,36694.91,37695.0,35944.0,37338.44,14142.19349961
2021-06-12,37340.08,37448.0,34635.47,35557.33,14516.54556279
2021-06-13,35557.32,39396.0,34780.57,39015.24,15748.96203951
2021-06-14,39015.24,41076.03,38744.83,40539.47,21916.84415956
2021-06-15,40537.93,41322.55,39510.98,40162.37,17020.70299457
2021-06-16,40158.06,40499.0,38105.0,38351.0,17238.57541183
2021-06-17,38351.0,39554.98,37365.63,38095.17,15970.35031651
2021-06-18,38103.94,38216.22,35153.16,35841.81,23472.37724375
2021-06-19,35840.96,36457.18,34833.26,35484.79,16801.08670642
2021-06-20,35484.8,36139.73,33347.05,35585.78,19400.07454207
2021-06-21,35585.79,35741.54,31259.0,31609.82,41304.39903519
2021-06-22,31609.82,33352.0,28800.0,32538.37,48409.17333487
2021-06-23,32538.9,34881.02,31708.03,33688.35,23124.81248294
2021-06-24,33688.51,35295.67,32300.0,34654.58,16868.94084747
2021-06-25,34654.87,35500.0,31300.0,31594.63,26505.19266978
2021-06-26,31594.62,32711.68,30173.49,32275.19,18299.38702942
2021-06-27,32267.59,34749.0,32002.21,34709.23,14428.92978925
2021-06-28,34708.53,35301.43,33864.99,34493.22,14920.2647883
2021-06-29,34493.22,36675.0,34233.35,35904.28,17917.59826258
2021-06-30,35906.17,36094.42,34033.0,35060.0,16700.72309396
2021-07-01,35060.0,35066.54,32703.48,33516.11,13210.9509733
2021-07-02,33510.93,33972.06,32704.73,33805.02,11765.65389836
2021-07-03,33805.01,34953.07,33320.0,34682.16,6197.80112922
2021-07-04,34685.03,35951.0,34390.53,35284.05,6224.03057033
2021-07-05,35284.06,35290.82,33156.86,33697.78,9607.60619891
2021-07-06,33697.78,35100.0,33300.0,34225.73,10313.01368118
2021-07-07,34225.72,35077.46,33770.01,33878.56,9404.8979867
2021-07-08,33879.5,33934.62,32111.0,32875.95,14147.3525248
2021-07-09,32875.95,34100.0,32255.24,33824.26,8320.90649257
2021-07-10,33824.25,34267.14,33027.83,33515.35,4906.24582215
2021-07-11,33515.35,34607.37,33333.33,34259.23,7023.06500489
2021-07-12,34259.22,34670.0,32665.0,33091.1,10145.24046995
2021-07-13,33077.43,33337.61,32201.12,32734.14,9478.04218884
2021-07-14,32734.14,33125.55,31600.0,32816.39,10355.3186961
2021-07-15,32815.75,33187.6,31064.77,31868.68,11273.61174025
2021-07-16,31872.49,32259.16,31025.42,31388.06,10006.47793721
2021-07-17,31389.57,31949.99,31179.01,31533.91,5695.57411588
2021-07-18,31533.9,32450.0,31125.6,31788.25,5006.4831051
2021-07-19,31786.37,31887.82,30429.99,30842.03,11027.00528966
2021-07-20,30842.04,31052.65,29301.56,29796.16,18114.15286104
2021-07-21,29796.15,32825.0,29501.02,32135.19,15598.47830878
2021-07-22,32152.68,32611.84,31729.68,32287.74,7704.6404628
2021-07-23,32287.75,33647.27,32000.0,33647.26,9004.84262627
2021-07-24,33647.27,34525.0,33424.7,34283.01,9864.75243703
2021-07-25,34291.67,35451.04,33888.89,35428.26,9434.63002297
2021-07-26,35428.25,40593.93,35251.54,37262.77,40354.54555841
2021-07-27,37262.76,39550.0,36413.26,39470.48,24709.10440908
2021-07-28,39475.99,40925.56,38803.34,40035.1,27198.33358111
2021-07-29,40035.1,40644.85,39229.47,40039.44,11022.42512817
2021-07-30,40039.44,42320.57,38342.0,42237.95,15063.2344059
2021-07-31,42233.66,42414.61,41064.11,41495.01,9351.94288576
2021-08-01,41499.0,42605.64,39426.0,39865.41,10617.67293456
2021-08-02,39859.18,40459.68,38690.0,39149.59,12379.41216528
2021-08-03,39149.59,39785.3,37627.21,38191.44,15094.81739624
2021-08-04,38189.4,39965.1,37509.0,39722.41,15327.67624669
2021-08-05,39718.9,41447.89,37300.0,40888.74,28507.85532682
2021-08-06,40888.73,43399.26,39876.74,42869.58,20425.1145444
2021-08-07,42869.59,44750.0,42457.27,44637.34,19634.79475606
2021-08-08,44628.11,45363.83,43131.97,43829.14,18712.27158173
2021-08-09,43829.15,46497.42,42821.3,46285.48,19464.72493503
2021-08-10,46280.0,46718.44,44650.27,45595.66,13756.50066875
2021-08-11,45601.82,46781.09,45350.74,45553.49,11628.32043954
2021-08-12,45553.1,46223.95,43714.36,44422.14,13169.78176994
2021-08-13,44422.15,47953.9,44249.64,47833.64,11794.94196257
2021-08-14,47833.64,48176.52,46034.93,47109.65,8130.36769388
2021-08-15,47109.64,47400.0,45525.19,47014.49,7745.70200802
2021-08-16,47014.38,48076.52,45676.91,45902.46,10467.66031475
2021-08-17,45903.22,47174.62,44405.39,44671.58,12756.14777945
2021-08-18,44675.34,46035.27,44216.47,44707.98,10327.49887365
2021-08-19,44709.1,47088.08,43955.0,46765.87,11938.12185013
2021-08-20,46769.02,49400.0,46644.95,49342.4,13184.67048641
2021-08-21,49349.99,49821.92,48285.28,48867.02,9574.83615164
2021-08-22,48870.21,49526.13,48102.89,49284.63,6243.39643384
2021-08-23,49284.38,50505.0,49012.84,49506.5,10824.26838095
2021-08-24,49504.53,49875.9,47600.0,47682.45,12068.33823315
2021-08-25,47682.45,49277.0,47122.02,48987.33,9289.23177109
2021-08-26,48991.57,49365.1,46315.48,46851.47,11651.34373853
2021-08-27,46851.47,49185.12,46361.01,49077.57,8924.12247655
2021-08-28,49081.08,49309.83,48370.0,48942.94,4895.70191319
2021-08-29,48942.89,49667.1,47801.0,48802.58,6935.09511006
2021-08-30,48802.58,48906.51,46866.0,46993.71,12249.23741495
2021-08-31,46996.8,48259.68,46708.93,47112.5,12919.43970212
2021-09-01,47110.33,49125.0,46537.62,48839.86,13010.83839478
2021-09-02,48834.27,50392.19,48620.73,49279.37,14120.3826407
2021-09-03,49279.38,51064.44,48349.66,50025.0,14577.22621879
2021-09-04,50025.0,50558.75,49400.0,49942.98,7595.48816499
2021-09-05,49944.89,51907.08,49500.0,51789.17,7743.93472308
2021-09-06,51789.17,52802.03,51020.08,52698.81,9571.75471136
2021-09-07,52698.8,52944.96,42830.77,46894.5,29022.815351
2021-09-08,46894.49,47381.47,44423.49,46060.36,19624.55093117
2021-09-09,46059.94,47400.0,45511.82,46400.0,13594.64633403
2021-09-10,46396.26,47040.76,44140.48,44851.45,14905.54795341
2021-09-11,44850.37,45989.94,44730.29,45171.83,6207.38337004
2021-09-12,45173.66,46462.98,44754.31,46024.23,6499.85821749
2021-09-13,46027.8,46900.0,43465.0,44947.72,15015.30289712
2021-09-14,44953.23,47274.92,44679.92,47127.22,12644.16435358
2021-09-15,47127.81,48475.0,46705.0,48148.12,12139.84206628
2021-09-16,48144.03,48499.99,47020.82,47753.16,11739.27966629
2021-09-17,47753.15,48176.64,46752.67,47303.5,9088.56956453
2021-09-18,47306.87,48825.62,47050.0,48314.56,7491.03449237
2021-09-19,48309.86,48379.19,46850.87,47255.92,7086.34626236
2021-09-20,47253.71,47358.92,42500.0,43012.97,27706.67636162
2021-09-21,43007.69,43639.88,39600.0,40719.6,27275.33818249
2021-09-22,40736.81,44035.44,40570.42,43575.1,19462.53865157
2021-09-23,43575.19,45000.0,43096.73,44897.59,13446.87468684
2021-09-24,44896.55,45200.0,40683.29,42848.92,22451.57711462
2021-09-25,42848.44,42998.76,41675.0,42705.51,7383.32390261
2021-09-26,42705.51,43937.0,40803.0,43178.02,9971.64545213
2021-09-27,43172.17,44366.96,42111.0,42171.76,10094.77099806
